instance,noise,seed,cmax,delta_heldout__mitigated_only,win_legacy__mitigated_only,win_v2__mitigated_only,changed__mitigated_only,gap__mitigated_only,tie_practical__mitigated_only,tie_statistical__mitigated_only,mc_scale__mitigated_only,delta_heldout__incl_unmitigated,win_legacy__incl_unmitigated,win_v2__incl_unmitigated,changed__incl_unmitigated,gap__incl_unmitigated,tie_practical__incl_unmitigated,tie_statistical__incl_unmitigated,mc_scale__incl_unmitigated
path6,dev_lagos,25,5,-0.010973926589538113,zne_rem,rem,True,0.005473057278914018,True,True,0.03231207900723157,-0.010973926589538113,zne_rem,rem,True,0.005473057278914018,True,True,0.025038051578652566
path6,dev_lagos,26,5,-0.007305265394058897,zne_rem,rem,True,0.0054499150409501925,True,True,0.03231207900723157,-0.007305265394058897,zne_rem,rem,True,0.0054499150409501925,True,True,0.025038051578652566
path6,dev_lagos,27,5,0.013861147491376225,zne_rem,rem,True,0.0023345416651300243,True,True,0.03231207900723157,0.013861147491376225,zne_rem,rem,True,0.0023345416651300243,True,True,0.025038051578652566
path6,dev_lagos,28,5,-0.006258655480070041,zne_rem,zne,True,0.01547610212011774,False,True,0.03231207900723157,-0.006258655480070041,zne_rem,zne,True,0.006759166666666589,True,True,0.025038051578652566
path6,dev_lagos,29,5,0.0020266265130712557,zne,rem,True,0.007783211758109548,True,True,0.03231207900723157,0.0020266265130712557,zne,rem,True,0.007783211758109548,True,True,0.025038051578652566
prism,dev_algiers,0,7,0.002070634744904921,rem,zne,True,0.00037580238666564157,True,True,0.004901800123743357,0.002070634744904921,rem,zne,True,0.00037580238666564157,True,True,0.004186467292254396
prism,dev_algiers,1,7,0.0015269776286189955,rem,zne,True,0.0003589613253636704,True,True,0.004901800123743357,0.0015269776286189955,rem,zne,True,0.0003589613253636704,True,True,0.004186467292254396
prism,dev_algiers,2,7,0.0021585568442685867,rem,zne_rem,True,0.0005117260775390006,True,True,0.004901800123743357,0.0021585568442685867,rem,zne_rem,True,0.0005117260775390006,True,True,0.004186467292254396
prism,dev_algiers,3,7,0.0029672907310264967,rem,zne_rem,True,0.000611872520641745,True,True,0.004901800123743357,0.0029672907310264967,rem,zne_rem,True,0.000611872520641745,True,True,0.004186467292254396
prism,dev_algiers,4,7,0.004604506457272354,rem,zne,True,0.000383102733529139,True,True,0.004901800123743357,0.004604506457272354,rem,zne,True,0.000383102733529139,True,True,0.004186467292254396
prism,dev_algiers,5,7,0.0035444259300613486,rem,zne,True,0.0009740995443846342,True,True,0.004901800123743357,0.0035444259300613486,rem,zne,True,0.0009740995443846342,True,True,0.004186467292254396
prism,dev_algiers,6,7,0.0013231955925344086,rem,zne,True,0.0005412552807317531,True,True,0.004901800123743357,0.0013231955925344086,rem,zne,True,0.0005412552807317531,True,True,0.004186467292254396
prism,dev_algiers,7,7,0.002158430887497206,rem,zne_rem,True,0.000756543849632101,True,True,0.004901800123743357,0.002158430887497206,rem,zne_rem,True,0.000756543849632101,True,True,0.004186467292254396
prism,dev_algiers,8,7,0.0013852579660282632,rem,zne_rem,True,0.0007482886415631163,True,True,0.004901800123743357,0.0013852579660282632,rem,zne_rem,True,0.0007482886415631163,True,True,0.004186467292254396
prism,dev_algiers,9,7,0.0028311223303832665,rem,zne_rem,True,0.0001890070117442821,True,True,0.004901800123743357,0.0028311223303832665,rem,zne_rem,True,0.0001890070117442821,True,True,0.004186467292254396
prism,dev_algiers,10,7,0.004450413148966917,rem,zne_rem,True,0.0004513104684420092,True,True,0.004901800123743357,0.004450413148966917,rem,zne_rem,True,0.0004513104684420092,True,True,0.004186467292254396
prism,dev_algiers,11,7,0.0005590524858611845,rem,zne,True,0.0006907378764927483,True,True,0.004901800123743357,0.0005590524858611845,rem,zne,True,0.0006907378764927483,True,True,0.004186467292254396
prism,dev_algiers,12,7,0.0035264573917143534,rem,zne_rem,True,0.0021935913434638133,True,True,0.004901800123743357,0.0035264573917143534,rem,zne_rem,True,0.0021935913434638133,True,True,0.004186467292254396
prism,dev_algiers,13,7,0.003996337360556848,rem,zne_rem,True,0.0010323413996472406,True,True,0.004901800123743357,0.003996337360556848,rem,zne_rem,True,0.0010323413996472406,True,True,0.004186467292254396
prism,dev_algiers,14,7,0.0017609223872278783,rem,zne,True,0.00015215162263530237,True,True,0.004901800123743357,0.0017609223872278783,rem,zne,True,0.00015215162263530237,True,True,0.004186467292254396
prism,dev_algiers,15,7,0.0030693472439463107,rem,zne_rem,True,0.0012241154525997303,True,True,0.004901800123743357,0.0030693472439463107,rem,zne_rem,True,0.0012241154525997303,True,True,0.004186467292254396
prism,dev_algiers,16,7,0.0036858197817556506,rem,zne_rem,True,0.0001338121556915896,True,True,0.004901800123743357,0.0036858197817556506,rem,zne_rem,True,0.0001338121556915896,True,True,0.004186467292254396
